Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~drumsticks.PrjPcb|ReportField=ProjectFullPath~D:\Laurens Documents\possum\Uni\3rd year\sem 2\ELEC3117\drumsticks altium\drumsticks.PrjPcb|ReportField=Title~Bill of Materials For Project [drumsticks.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~11|ReportField=ReportTime~12:45:50 PM|ReportField=ReportDate~7/10/2013|ReportField=ReportDateTime~7/10/2013 12:45:50 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~7/10/2013|ReportField=CurrentTime~12:45:40 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Laurens Documents\possum\Uni\3rd year\sem 2\ELEC3117\drumsticks altium\airDrums.SchDoc|ReportField=DocumentName~airDrums.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~7/10/2013|ReportField=Organization~|ReportField=ProjectName~drumsticks.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~drumsticks.PrjPcb|ReportField=DataSourceFullPath~D:\Laurens Documents\possum\Uni\3rd year\sem 2\ELEC3117\drumsticks altium\drumsticks.PrjPcb
100uF|Capacitor (Semiconductor SIM Model)|C1|CAPC6032X28N|Cap Semi|1
10nF|Capacitor (Semiconductor SIM Model)|C2, C3|CAP0805|Cap Semi|2
1nF|Capacitor (Semiconductor SIM Model)|C4|CAP0805|Cap Semi|1
Header 2|Header, 2-Pin|P1|HDR1X2|Header 2|1
Header 8|Header, 8-Pin|P2|HDR1X8|Header 8|1
Header 4X2|Header, 4-Pin, Dual row|P3|HDR2X4|Header 4X2|1
47k|Semiconductor Resistor|R1|CAP0805|Res Semi|1
switch||SW1|Switch|switch|1
MSP430G2553IN20|16 MHz Mixed Signal Microcontroller with 16 KB Flash, 512 B SRAM and 24 GPIOs, -40 to 85 degC, 20-pin DIP (N), Pb-Free (RoHS)|U1|TI-N20|MSP430G2553IN20|1
LP38690_NDP_3|Imported|U2|TD03B|LP38690_NDP_3|1
